ambito,cod_localidad,nombre_mapa,localidad,anio,mes_corte,vigente,comprometido,girado,pct_comprometido,pct_girado,pct_girado_de_comprometido,concentracion_diciembre,concentracion_q4,anio_completo
Fondo de Desarrollo Local,14,LOS MARTIRES,Los Mártires,2026,5,73866.139,48893.593,15681.508,66.192,21.23,32.073,,,False
Fondo de Desarrollo Local,15,ANTONIO NARIÑO,Antonio Nariño,2024,12,49343.609,48030.247,28558.36,97.338,57.877,59.459,10.442,32.699,True
Fondo de Desarrollo Local,15,ANTONIO NARIÑO,Antonio Nariño,2025,12,55825.832,53757.851,31889.44,96.296,57.123,59.321,4.789,22.376,True
Fondo de Desarrollo Local,15,ANTONIO NARIÑO,Antonio Nariño,2026,5,57097.332,32743.913,9279.07,57.348,16.251,28.338,,,False
Fondo de Desarrollo Local,16,PUENTE ARANDA,Puente Aranda,2024,12,79989.354,79054.549,50292.12,98.831,62.874,63.617,11.295,26.416,True
Fondo de Desarrollo Local,16,PUENTE ARANDA,Puente Aranda,2025,12,88809.508,88715.216,57251.341,99.894,64.465,64.534,20.765,36.452,True
Fondo de Desarrollo Local,16,PUENTE ARANDA,Puente Aranda,2026,5,90815.779,60098.846,24070.541,66.177,26.505,40.052,,,False
Fondo de Desarrollo Local,17,CANDELARIA,La Candelaria,2024,12,38718.313,37778.585,21209.889,97.573,54.78,56.143,6.26,48.401,True
Fondo de Desarrollo Local,17,CANDELARIA,La Candelaria,2025,12,53773.685,53326.246,30916.323,99.168,57.493,57.976,9.921,25.842,True
Fondo de Desarrollo Local,17,CANDELARIA,La Candelaria,2026,5,52525.355,30676.204,9504.887,58.403,18.096,30.985,,,False
Fondo de Desarrollo Local,18,RAFAEL URIBE URIBE,Rafael Uribe Uribe,2024,12,172408.223,163813.554,71626.923,95.015,41.545,43.725,18.169,47.422,True
Fondo de Desarrollo Local,18,RAFAEL URIBE URIBE,Rafael Uribe Uribe,2025,12,209227.897,208778.462,128695.916,99.785,61.51,61.642,11.803,30.599,True
Fondo de Desarrollo Local,18,RAFAEL URIBE URIBE,Rafael Uribe Uribe,2026,5,192561.575,107575.369,25112.643,55.865,13.041,23.344,,,False
Fondo de Desarrollo Local,19,CIUDAD BOLIVAR,Ciudad Bolívar,2024,12,313451.828,311836.051,157160.116,99.485,50.139,50.398,8.537,17.714,True
Fondo de Desarrollo Local,19,CIUDAD BOLIVAR,Ciudad Bolívar,2025,12,360234.605,357657.104,196333.768,99.284,54.502,54.894,8.636,22.441,True
Fondo de Desarrollo Local,19,CIUDAD BOLIVAR,Ciudad Bolívar,2026,5,369030.116,215850.971,81271.645,58.491,22.023,37.652,,,False
Fondo de Desarrollo Local,20,SUMAPAZ,Sumapaz,2024,12,114792.63,114517.735,67988.786,99.761,59.227,59.37,12.22,34.541,True
Fondo de Desarrollo Local,20,SUMAPAZ,Sumapaz,2025,12,114137.186,113553.889,63100.548,99.489,55.285,55.569,12.587,29.831,True
Fondo de Desarrollo Local,20,SUMAPAZ,Sumapaz,2026,5,117111.219,68796.34,28617.77,58.744,24.436,41.598,,,False
