ambito,cod_localidad,nombre_mapa,localidad,periodo,anio,mes,vigente_snapshot,comprometido_acumulado_anio,girado_acumulado_anio,giro_mes,compromiso_mes
Fondo de Desarrollo Local,1,USAQUEN,Usaquén,202604,2026,4,131076.057,67646.805,19678.434,6936.226,17.784
Fondo de Desarrollo Local,1,USAQUEN,Usaquén,202605,2026,5,131076.057,68765.766,26374.667,6696.233,1118.962
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202401,2024,1,60097.964,26894.677,572.139,572.139,26894.677
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202402,2024,2,58912.919,27173.04,2111.477,1539.338,278.363
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202403,2024,3,58912.919,28109.708,3748.748,1637.27,936.668
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202404,2024,4,58912.919,29313.31,5562.136,1813.388,1203.602
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202405,2024,5,58912.919,26329.931,7269.582,1707.446,-2983.379
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202406,2024,6,58912.919,26874.169,8141.047,871.465,544.238
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202407,2024,7,60279.919,33021.871,9688.218,1547.172,6147.702
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202408,2024,8,60279.919,35370.759,13062.683,3374.464,2348.888
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202409,2024,9,60279.919,37483.943,16896.793,3834.11,2113.184
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202410,2024,10,63598.611,40379.796,19081.865,2185.072,2895.853
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202411,2024,11,63598.611,41611.823,22720.772,3638.908,1232.027
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202412,2024,12,63598.611,58271.189,25265.342,2544.57,16659.366
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202501,2025,1,77638.649,33201.49,1460.874,1460.874,33201.49
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202502,2025,2,77638.649,34271.644,2757.133,1296.259,1070.154
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202503,2025,3,73457.004,39587.811,4496.5,1739.367,5316.166
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202504,2025,4,73457.004,40862.791,6896.505,2400.005,1274.98
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202505,2025,5,73457.004,45367.298,8513.841,1617.336,4504.507
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202506,2025,6,73457.004,45614.686,16388.081,7874.241,247.388
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202507,2025,7,73457.004,48364.464,18776.13,2388.049,2749.778
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202508,2025,8,73457.004,50746.888,22209.542,3433.412,2382.424
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202509,2025,9,73457.004,51908.41,25614.987,3405.445,1161.522
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202510,2025,10,77249.053,52701.932,29607.768,3992.781,793.522
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202511,2025,11,77249.053,57801.462,34225.233,4617.465,5099.53
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202512,2025,12,75924.829,69147.513,38452.727,4227.494,11346.051
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202601,2026,1,76372.595,38890.79,1504.219,1504.219,38890.79
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202602,2026,2,76372.595,41094.231,5357.228,3853.009,2203.441
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202603,2026,3,69233.009,41132.798,6525.209,1167.982,38.567
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202604,2026,4,69233.009,41106.38,7962.739,1437.53,-26.418
Fondo de Desarrollo Local,2,CHAPINERO,Chapinero,202605,2026,5,69233.009,41126.007,9455.497,1492.757,19.627
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202401,2024,1,95024.198,34312.71,2540.967,2540.967,34312.71
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202402,2024,2,84114.13,38072.779,4653.364,2112.396,3760.069
