referencia,valor,descripcion
avance_tiempo_pct,43.7,% del cuatrienio 2024-2027 transcurrido al corte 2025-09-30
ritmo_mensual_neutro_pct,8.33,% del giro anual que caería en un mes si se ejecutara parejo
