Institucion,anio,mes_corte,vigente,comprometido,girado,giro_mes,compromiso_mes,giro_diciembre,giro_q4,pct_comprometido,pct_girado,pct_girado_de_comprometido,concentracion_diciembre,concentracion_q4,anio_completo
Instituto Distrital de Recreación y Deporte,2024,12,396682.50744,382686.725714,256138.805455,62346.233149999985,65938.82934499998,62346.233149999985,123458.650334,96.47179256369985,64.57022950368996,66.93171940498002,24.34079952830628,48.1999008758905,True
Instituto Distrital de Recreación y Deporte,2025,12,546188.931216,500360.27088900004,346787.188046,70446.58409700001,44968.54390900006,70446.58409700001,171294.04456300003,91.60937585736679,63.492166945590654,69.30749866088615,20.314067683393063,49.39457121474698,True
Instituto Distrital de Recreación y Deporte,2026,5,498513.226,285165.918037,81132.942465,29515.110803999996,41799.890454999986,,,57.20328030715076,16.274982935959255,28.45113575405357,,,False
