CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo
8161,Instituto Distrital del Patrimonio Cultural,MEJORAMIENTO DE LA CAPACIDAD INSTITUCIONAL PARA LA ATENCIÓ,1,11203.42,25.91428571428571,26.699882714385428,0,-17.784344422700592
8163,Secretaría Distrital de Desarrollo Económico,FORTALECIMIENTO DE LA RUTA INTEGRAL DE EMPLEO Y FORMACIÓN ,5,212602.91000000003,18.596242756113515,10.62526378401876,0,-25.102387380872788
8164,Secretaría Distrital de Desarrollo Económico,FORTALECIMIENTO DE LOS NEGOCIOS LOCALES DE LA CIUDAD DE BO,8,135865.09,21.372638389849705,30.531058419789808,1,-22.325991747136598
8167,Instituto Distrital de Recreación y Deporte,FORTALECIMIENTO DE LA ECONOMÍA DEL DEPORTE Y LA RECREACIÓN,1,3123.54,16.788856304985337,23.11479923420222,0,-26.909773832000965
8168,Instituto Distrital de Recreación y Deporte,FORTALECIMIENTO DE LA GESTIÓN RECREODEPORTIVA  LA PARTICIP,3,15535.71,3.175558117395343,9.513115267985821,1,-40.52307201959096
8169,Instituto Distrital de Recreación y Deporte,CONSTRUCCIÓN Y ADECUACIÓN DE PARQUES Y ESCENARIOS RECREODE,3,190667.84,5.095943290698631,1.5990583414591575,1,-38.602686846287675
8170,Universidad Distrital Francisco José de Caldas,FORTALECIMIENTO DE ESTRATEGIAS PARA DISMINUIR LA TASA DE R,2,8931.29,27.487832409549846,3.5476398146292407,0,-16.210797727436457
8171,Instituto Distrital del Patrimonio Cultural,IMPLEMENTACIÓN DE PROCESOS DE VALORACIÓN PARA EL INVENTARI,1,2337.08,4.0,13.331593270234652,0,-39.6986301369863
8172,Secretaría Distrital de Desarrollo Económico,FORTALECIMIENTO DE LOS SISTEMAS PRODUCTIVOS ACORDE A LA VO,2,13387.449999999999,1.581312049718206,24.946050218674955,1,-42.117318087268096
8173,Unidad Administrativa Especial Cuerpo Oficial de Bomberos de Bogotá,MODERNIZACIÓN DE LAS CAPACIDADES DEL CUERPO OFICIAL DE BOM,9,150966.38000000003,12.190792452156122,9.410704555544086,1,-31.50783768483018
8174,Universidad Distrital Francisco José de Caldas,DESARROLLO Y MODERNIZACIÓN DE LOS PROCESOS RELACIONADOS CO,3,1619.19,9.892909417671799,0.0,2,-33.80572071931451
8175,Secretaría Jurídica Distrital,FORTALECIMIENTO ESTRATÉGICO INSTITUCIONAL Y MEJORA DE LA G,2,1018.9599999999999,27.68680811808118,33.879641987909245,1,-16.01182201890512
8178,Secretaría Distrital de Desarrollo Económico,CONSOLIDACIÓN DEL SISTEMA DE ABASTECIMIENTO Y DISTRIBUCIÓN,2,19228.760000000002,17.008544237159036,20.523112254768375,0,-26.690085899827267
8181,Secretaría Distrital de la Mujer,PRODUCCIÓN DE INFORMACIÓN SOBRE LOS DERECHOS DE LAS MUJERE,2,12070.3,15.47349071688359,17.91877583821446,0,-28.225139420102714
